S0,age_group,A0,c,s,f,S0_c,S0_s,A0_s,S6
63,1,56,2,1,2,126,63,56,52.778161696401675
56,4,44,3,2,3,168,112,88,35.61528403563778
57,1,50,2,2,3,114,114,100,44.78491792777695
62,3,57,1,1,10,62,62,57,38.49537851373788
55,1,40,1,2,2,55,110,80,40.07711227751084
63,3,57,1,1,2,63,63,57,50.99484545011115
55,2,56,2,1,1,110,55,56,47.980686433955114
65,4,40,3,1,3,195,65,40,53.7342145925351
58,2,27,2,1,5,116,58,27,54.95365030563501
59,1,42,2,2,9,118,118,84,31.753178974759983
65,4,57,1,1,4,65,65,57,57.34851973762568
62,2,36,1,1,8,62,62,36,45.77580145894935
55,2,53,1,1,7,55,55,53,41.23956091985354
60,2,46,2,1,3,120,60,46,51.8584671963743
64,3,56,2,1,6,128,64,56,46.31728115756374
58,2,63,2,2,7,116,116,126,37.4932651329804
57,3,46,3,2,5,171,114,92,41.42521950043443
56,1,68,1,1,10,56,56,68,38.251000958615315
57,1,50,3,2,4,171,114,100,32.61070575376204
56,4,55,3,1,8,168,56,55,38.18105041087323
59,3,65,1,2,6,59,118,130,42.75312863469954
57,1,50,1,1,1,57,57,50,52.926984495078564
63,1,65,1,2,10,63,126,130,43.482036707928025
63,3,60,3,2,6,189,126,120,39.559895863536426
59,5,49,2,1,6,118,59,49,43.0078771400436
60,1,43,2,2,8,120,120,86,39.37362911176605
62,1,57,2,1,1,124,62,57,48.047489525999296
61,2,48,2,2,1,122,122,96,43.54176042313625
63,1,35,3,1,6,189,63,35,46.32834332391876
60,2,41,2,1,8,120,60,41,38.74372884391689
57,3,46,3,1,7,171,57,46,44.05815329238057
65,2,48,1,1,4,65,65,48,56.70198742327034
61,1,57,3,2,9,183,122,114,35.68050181360696
64,2,51,1,2,2,64,128,102,47.23237138938675
57,2,50,1,1,2,57,57,50,54.4312821673011
60,5,60,3,1,5,180,60,60,47.434340422587105
63,3,44,1,1,7,63,63,44,52.80717090457588
63,3,44,3,1,3,189,63,44,47.92374707570457
58,3,54,2,2,4,116,116,108,43.5840697111136
64,3,56,2,1,9,128,64,56,41.563748206227245
57,4,62,2,1,1,114,57,62,50.041120231452965
56,2,51,1,2,9,56,112,102,29.655825760867682
58,2,48,3,2,6,174,116,96,39.182105111956595
55,2,56,3,1,10,165,55,56,36.76162862245717
61,4,73,2,2,1,122,122,146,40.18404342255586
63,3,44,3,1,2,189,63,44,48.56129846859434
63,3,44,1,1,9,63,63,44,45.68954071896712
58,4,64,3,1,1,174,58,64,50.5603808762975
60,4,60,2,2,5,120,120,120,45.425402970117105
61,4,34,1,1,2,61,61,34,57.50318743263978
56,1,68,2,1,6,112,56,68,46.77780837104999
58,2,49,3,1,3,174,58,49,47.787782412964
60,5,35,1,1,8,60,60,35,47.45849525610173
57,1,50,2,1,1,114,57,50,56.67943353293039
65,1,47,3,1,8,195,65,47,35.12311119138059
64,3,42,2,1,9,128,64,42,45.328687705063054
56,2,56,2,2,2,112,112,112,43.2811909751921
62,2,55,2,1,6,124,62,55,45.733058257304435
57,4,50,2,2,2,114,114,100,38.347776323082975
57,3,46,3,2,2,171,114,92,33.28588491900085
61,4,55,2,2,5,122,122,110,39.32308741345174
61,3,77,3,1,6,183,61,77,43.20237913755093
59,4,46,2,1,7,118,59,46,48.38422954099725
62,1,57,2,2,7,124,124,114,38.269128762091896
58,2,48,1,1,6,58,58,48,49.995564968508035
56,2,44,2,2,7,112,112,88,35.08879995473571
64,1,37,2,1,5,128,64,37,55.41325434287461
55,2,53,3,1,10,165,55,53,38.87116039348486
62,3,44,2,1,3,124,62,44,57.279267523079525
64,5,51,2,1,8,128,64,51,47.96916490696037
56,3,54,2,2,4,112,112,108,36.357264580836315
59,5,39,1,1,2,59,59,39,49.39762181329452
59,4,62,3,1,1,177,59,62,50.10991957376554
57,4,62,2,1,7,114,57,62,40.784933321123155
57,4,42,2,1,3,114,57,42,47.70625619557711
58,3,57,2,1,2,116,58,57,48.14364090914787
62,3,54,3,2,8,186,124,108,38.62446818884972
64,4,55,2,2,5,128,128,110,43.45996299577263
62,2,37,2,1,3,124,62,37,62.0
56,2,51,2,2,1,112,112,102,38.88506666505764
58,2,49,2,2,10,116,116,98,33.11370571637449
59,4,44,3,1,4,177,59,44,44.99282097637068
58,2,45,1,2,9,58,116,90,35.146866104953624
59,3,61,3,1,8,177,59,61,35.200615014357275
64,2,51,2,1,1,128,64,51,55.99953309724873
58,1,42,1,2,5,58,116,84,40.536032319865114
61,4,39,1,1,8,61,61,39,54.49040328750171
59,5,39,1,1,4,59,59,39,59.0
58,2,64,3,1,4,174,58,64,44.4370045198426
60,2,58,3,2,10,180,120,116,30.224195085928354
59,3,52,2,2,9,118,118,104,34.840075282492236
58,3,54,2,2,10,116,116,108,28.155346535744705
64,3,57,3,1,3,192,64,57,54.95018057412262
63,5,68,2,1,6,126,63,68,56.18868253896352
61,4,73,3,1,2,183,61,73,55.55524323171795
56,5,52,2,1,2,112,56,52,48.36466658224696
61,5,26,3,1,5,183,61,26,52.067497078281136
62,2,52,1,2,2,62,124,104,50.66395110790641
55,1,54,2,2,3,110,110,108,36.90563959371303
58,2,63,1,2,1,58,116,126,44.90733186613737
63,3,44,3,1,6,189,63,44,50.179347175357535
62,2,68,3,1,7,186,62,68,50.68987099576238
59,1,42,1,2,8,59,118,84,35.18486860625077
57,1,50,3,2,7,171,114,100,38.295279716508986
61,3,50,1,1,4,61,61,50,56.70216487142179
62,1,57,2,2,9,124,124,114,30.49198133205533
60,4,42,1,1,6,60,60,42,53.9335151381752
64,1,59,1,2,1,64,128,118,47.48043640311576
62,5,61,3,1,9,186,62,61,41.63778815248994
58,5,57,1,1,9,58,58,57,37.4297826503175
56,3,55,1,2,10,56,112,110,31.856356863884965
62,3,54,3,1,3,186,62,54,49.41314176778365
65,1,47,1,2,1,65,130,94,54.904916162877115
58,1,43,3,2,10,174,116,86,28.287330154489467
57,1,50,2,1,9,114,57,50,40.32336645659703
63,3,44,1,1,5,63,63,44,56.80209314903924
56,5,55,3,1,1,168,56,55,44.303924080465485
65,4,57,1,2,5,65,130,114,45.55354625577682
64,2,51,3,1,8,192,64,51,41.74874382917474
58,3,53,2,2,3,116,116,106,43.470380057332314
63,1,30,3,1,10,189,63,30,35.692192636047125
65,5,42,1,1,4,65,65,42,63.017631240624176
62,2,36,2,1,6,124,62,36,50.08817181001871
63,2,56,2,1,7,126,63,56,46.43652197051273
64,3,57,3,2,9,192,128,114,34.30908051034696
56,4,57,3,1,6,168,56,57,45.20807292951903
56,4,44,1,1,4,56,56,44,56.0
56,4,57,3,2,9,168,112,114,33.002702761866566
58,4,64,3,2,9,174,116,128,26.006718876164058
59,1,42,2,2,7,118,118,84,43.18148626133721
56,1,63,3,1,5,168,56,63,45.24271030247625
58,2,49,1,1,1,58,58,49,57.26386815750116
56,3,52,3,1,7,168,56,52,34.61394893890652
63,3,47,2,1,2,126,63,47,55.232870472310005
60,5,48,3,1,8,180,60,48,37.65262622505808
56,1,64,2,3,6,112,168,192,33.91338519806393
63,1,49,3,1,3,189,63,49,48.37500656857758
57,2,50,2,2,9,114,114,100,32.30144246580483
57,5,54,2,1,7,114,57,54,45.22953417251101
56,2,54,3,1,9,168,56,54,35.24113818384576
63,3,60,2,1,10,126,63,60,48.95004463435356
56,2,54,3,2,10,168,112,108,27.38429914403575
58,3,50,2,1,8,116,58,50,41.19061458527636
62,3,57,3,1,3,186,62,57,48.11739439151698
62,4,44,2,2,4,124,124,88,46.68895733574832
61,4,49,3,2,10,183,122,98,27.398587296431486
58,1,45,1,1,10,58,58,45,37.5650858373385
62,4,40,2,1,4,124,62,40,56.01198678541816
62,1,64,2,1,7,124,62,64,42.21354130627105
59,4,48,1,1,6,59,59,48,54.40497683163965
59,3,65,2,1,8,118,59,65,39.59965178277444
56,1,63,2,1,3,112,56,63,49.86677504104999
57,4,42,2,1,4,114,57,42,57.0
57,3,59,1,1,7,57,57,59,47.129152302986654
58,4,38,1,1,1,58,58,38,50.91412129207929
59,3,53,1,1,1,59,59,53,53.93947005858047
57,2,61,2,3,5,114,171,183,28.413221060105933
62,3,54,2,1,8,124,62,54,42.15288527514466
58,4,64,2,1,1,116,58,64,54.400547765411005
61,1,57,1,1,10,61,61,57,40.18799274045305
58,2,49,1,1,7,58,58,49,48.88685620458184
60,2,58,3,2,1,180,120,116,38.2973152750275
59,1,42,3,2,8,177,118,84,32.97637597671178
59,1,63,1,3,6,59,177,189,32.98041377232211
57,3,35,1,1,4,57,57,35,51.60884459804686
57,3,61,2,2,6,114,114,122,37.26145054310839
56,1,68,1,1,3,56,56,68,56.0
61,4,73,2,1,4,122,61,73,53.180643220857704
62,2,64,3,3,6,186,186,192,33.0357774482981
61,1,57,1,1,7,61,61,57,55.16642494169971
65,1,47,1,2,5,65,130,94,52.60205065446419
64,4,48,1,2,4,64,128,96,51.57446307141719
56,1,63,2,2,8,112,112,126,31.024753512652072
59,4,42,3,2,5,177,118,84,39.355206021156995
55,2,53,1,1,10,55,55,53,39.51146907576588
60,2,41,2,2,9,120,120,82,34.258582201812104
61,2,45,3,1,8,183,61,45,42.69675876409463
62,4,51,2,1,2,124,62,51,59.14653825480956
62,2,64,1,2,1,62,124,128,47.378320999504254
59,4,42,3,1,1,177,59,42,59.0
62,5,54,3,1,6,186,62,54,47.94128689587961
61,4,45,3,2,9,183,122,90,32.50410593947143
55,3,51,1,2,4,55,110,102,35.78634938367357
59,2,58,1,2,4,59,118,116,43.47146606849004
63,1,56,2,1,7,126,63,56,53.26347563066131
64,2,48,3,2,8,192,128,96,32.015531939967346
57,5,54,2,1,9,114,57,54,35.1382118454077
58,1,43,2,2,3,116,116,86,41.94619101756383
56,2,54,3,2,6,168,112,108,34.43012435602477
63,1,49,1,2,2,63,126,98,47.83999607016051
55,2,39,1,1,4,55,55,39,51.644591411412605
56,1,51,1,2,9,56,112,102,29.641697932769
63,1,56,3,2,1,189,126,112,40.61094667141008
61,4,74,3,1,9,183,61,74,38.707066509051
62,4,44,2,2,5,124,124,88,47.19636587231403
59,1,51,2,2,8,118,118,102,33.99833693136939
60,5,51,2,1,3,120,60,51,54.31264697268032
61,3,77,1,2,1,61,122,154,39.73354291899803
63,5,68,3,1,6,189,63,68,48.59994509052024
59,4,44,3,1,2,177,59,44,47.836544115728394
63,3,44,3,1,5,189,63,44,54.051502727020555
62,3,44,2,2,10,124,124,88,32.929077090174694
58,3,53,3,2,7,174,116,106,47.660383440423544
61,2,37,2,1,8,122,61,37,43.51482268438781
62,3,57,3,2,9,186,124,114,31.27674126888985
58,2,27,2,1,10,116,58,27,38.85417306906945
63,1,56,1,2,5,63,126,112,45.47140442363038
62,1,57,2,1,4,124,62,57,51.781191567011206
58,3,39,3,1,10,174,58,39,35.02965761539199
64,1,38,3,1,8,192,64,38,43.45085277801424
57,2,41,1,1,6,57,57,41,44.18168867353837
64,3,57,1,1,10,64,64,57,46.74176699483965
60,4,60,1,1,3,60,60,60,57.938483298507656
58,3,53,2,2,10,116,116,106,35.56328528574737
59,4,42,2,2,1,118,118,84,41.50913672278108
59,5,74,1,1,2,59,59,74,58.47448393738162
63,4,56,3,2,1,189,126,112,43.676696225078295
64,4,48,1,2,7,64,128,96,43.48813416486723
62,3,54,2,2,9,124,124,108,32.951066508373124
63,5,41,3,1,8,189,63,41,42.36120916719192
58,5,57,2,1,6,116,58,57,41.949958090058956
57,1,50,1,2,6,57,114,100,40.19305367889089
55,3,51,2,1,4,110,55,51,49.462152595016576
60,5,45,3,1,10,180,60,45,38.73999394614682
58,4,39,3,1,3,174,58,39,44.87702138809785
60,2,42,2,2,10,120,120,84,33.62311252374455
58,2,49,1,2,2,58,116,98,45.817561497911306
56,4,55,1,2,7,56,112,110,39.66295267182636
58,2,45,3,2,1,174,116,90,40.869399921843446
61,1,62,1,1,4,61,61,62,56.235318172560824
56,5,52,2,1,1,112,56,52,47.194298964933175
61,4,49,3,2,1,183,122,98,40.91947382200193
58,3,31,3,1,1,174,58,31,48.78644566092857
58,5,54,1,1,7,58,58,54,51.47751031658835
61,1,42,1,1,1,61,61,42,61.0
59,5,39,2,1,2,118,59,39,50.357927894294704
55,3,59,1,1,3,55,55,59,45.591381792385164
55,3,28,3,1,8,165,55,28,35.05799285600667
58,1,54,2,1,9,116,58,54,46.2904671205932
62,4,51,2,1,1,124,62,51,54.22287880578473
61,4,45,2,2,4,122,122,90,43.705413321579066
64,4,55,1,1,8,64,64,55,49.779454254806154
62,5,46,2,1,9,124,62,46,41.96071055971836
65,2,48,2,2,5,130,130,96,45.867896889492
62,5,42,3,1,1,186,62,42,47.64450627104009
64,1,38,3,1,6,192,64,38,49.285256399355326
60,4,57,3,2,2,180,120,114,44.7291366230131
62,5,46,1,1,4,62,62,46,61.83059911703828
59,2,50,3,1,7,177,59,50,36.0545158383341
63,1,59,3,1,3,189,63,59,40.13695718349801
57,4,62,3,1,2,171,57,62,51.74906929908057
57,2,47,2,1,6,114,57,47,51.561547335844786
57,3,59,1,2,4,57,114,118,42.95971982080944
63,3,60,2,1,8,126,63,60,45.849989791824505
59,4,47,2,1,7,118,59,47,45.72503472326251
57,2,41,2,2,4,114,114,82,39.182731450214824
61,5,54,2,1,4,122,61,54,52.63550308924198
61,1,62,2,2,6,122,122,124,37.33662900186849
64,3,57,3,2,4,192,128,114,37.850503052601226
64,4,55,1,1,7,64,64,55,46.60767111507769
57,1,57,2,2,7,114,114,114,37.28956115475616
61,2,49,1,2,1,61,122,98,50.7948333831184
58,1,43,1,1,4,58,58,43,58.0
63,1,56,3,1,9,189,63,56,40.17335155392174
59,1,63,2,1,10,118,59,63,37.903638277847364
61,1,57,2,1,3,122,61,57,54.20795969169613
61,4,45,3,1,3,183,61,45,59.054099739136156
55,1,54,1,1,2,55,55,54,48.85954849368906
59,4,44,3,2,3,177,118,88,39.96135432245217
59,2,50,1,2,9,59,118,100,35.51859960916262
55,1,31,2,1,4,110,55,31,49.24765517372238
58,1,40,1,2,6,58,116,80,39.2728222642159
63,1,51,3,2,9,189,126,102,28.840671602204637
58,3,57,2,2,5,116,116,114,42.08679825962591
64,2,49,2,2,10,128,128,98,37.3003440601368
61,4,55,2,2,3,122,122,110,57.285760381312905
60,2,41,2,1,4,120,60,41,52.80697704145659
57,2,61,1,1,10,57,57,61,38.64969295854204
57,3,59,2,1,7,114,57,59,48.88049868197054
58,3,51,1,1,2,58,58,51,58.0
59,1,51,1,1,5,59,59,51,51.23852908133132
61,4,73,3,2,3,183,122,146,46.5671877196175
65,2,48,3,2,2,195,130,96,41.927426483873525
58,2,63,3,2,3,174,116,126,41.13581296000296
56,1,50,3,2,7,168,112,100,34.04946906665625
56,4,55,2,2,2,112,112,110,37.449778781106446
63,1,56,2,1,2,126,63,56,52.91786999151408
57,3,46,2,1,6,114,57,46,51.841715364399626
59,4,27,1,1,2,59,59,27,53.009637048547326
63,1,56,2,1,7,126,63,56,46.9608652244505
62,2,44,3,2,3,186,124,88,42.08288427959129
57,5,47,2,1,8,114,57,47,42.07803510657061
62,2,64,3,3,8,186,186,192,26.799685450012262
65,4,48,2,2,4,130,130,96,42.847676065918904
63,1,51,2,2,6,126,126,102,38.8277337768088
62,4,42,2,1,10,124,62,42,39.99426185054268
61,3,50,1,1,8,61,61,50,47.645545169864015
65,3,65,3,2,1,195,130,130,44.84405979249464
64,2,63,2,2,4,128,128,126,42.361113884610425
58,1,47,2,2,4,116,116,94,38.12655422068912
64,2,38,2,1,6,128,64,38,53.36619874441014
55,3,51,1,2,1,55,110,102,43.41369254956188
58,3,57,2,2,1,116,116,114,39.172832621811
61,2,37,3,1,2,183,61,37,51.95369263147945
62,4,52,3,1,6,186,62,52,50.25897301565139
58,1,54,1,2,10,58,116,108,30.27827466495567
59,5,36,1,1,10,59,59,36,39.615730936179474
57,3,61,1,1,4,57,57,61,57.0
62,3,57,2,1,2,124,62,57,62.0
56,4,44,2,1,2,112,56,44,49.55516512119726
61,1,62,1,3,4,61,183,186,32.404723733588064
63,3,44,2,1,8,126,63,44,44.50390087766428
56,2,51,3,2,8,168,112,102,31.59356905938631
58,3,43,3,1,9,174,58,43,39.02162164092574
64,3,42,2,2,4,128,128,84,44.2910918692236
61,3,66,2,1,6,122,61,66,51.65709256554538
64,1,53,1,2,9,64,128,106,38.49086102361366
59,3,53,3,2,7,177,118,106,35.042455375019216
64,3,37,2,1,6,128,64,37,53.25375325362971
55,1,52,3,2,5,165,110,104,37.314140166192274
57,3,37,2,1,5,114,57,37,47.48504838917668
62,2,37,3,1,7,186,62,37,44.19603823110085
58,1,40,3,1,5,174,58,40,51.716080711327685
63,4,56,3,2,8,189,126,112,31.97435067238715
57,3,37,1,1,1,57,57,37,56.55853211679416
56,1,64,2,1,10,112,56,64,36.61690678292102
56,4,57,3,1,9,168,56,57,39.021186273897044
63,5,70,3,1,3,189,63,70,52.22281655902435
57,4,56,3,1,4,171,57,56,46.69708833758637
64,5,62,3,1,4,192,64,62,57.48717722789245
63,5,47,3,1,5,189,63,47,44.558273920601586
55,1,52,1,1,1,55,55,52,50.394128985220505
59,1,63,2,2,3,118,118,126,38.73948572445094
62,2,64,2,2,5,124,124,128,46.789112407500724
62,2,44,3,2,9,186,124,88,34.93937987270311
58,1,59,3,1,10,174,58,59,35.006117604512724
62,3,57,1,1,1,62,62,57,46.91452693188605
60,1,63,3,2,1,180,120,126,40.59183409251567
55,5,68,1,1,8,55,55,68,37.14649688190388
63,3,57,3,2,10,189,126,114,26.620539208298297
57,1,57,3,1,4,171,57,57,46.846603616745114
63,3,57,2,2,2,126,126,114,45.544693967089806
57,1,44,1,2,7,57,114,88,40.48202131862082
58,4,39,3,1,9,174,58,39,37.38211016608165
57,2,41,2,2,1,114,114,82,38.595784121738504
60,5,48,2,1,10,120,60,48,36.8700406297885
62,1,64,2,3,8,124,186,192,27.600368914471815
57,4,56,2,1,6,114,57,56,53.18039375444741
64,1,53,1,1,10,64,64,53,50.19544854247785
58,2,64,2,3,7,116,174,192,25.96071402249589
56,1,50,2,1,8,112,56,50,47.85119141514163
58,1,60,1,3,5,58,174,180,37.10342206081473
56,1,50,3,2,6,168,112,100,29.444665092590004
64,4,48,1,2,7,64,128,96,45.987019131489866
60,2,42,1,2,6,60,120,84,49.389664112249974
60,3,52,1,2,7,60,120,104,42.162028426066364
55,1,42,1,2,8,55,110,84,34.22093082143305
63,3,60,2,1,2,126,63,60,63.0
61,4,73,1,2,5,61,122,146,46.19490446021255
62,3,54,1,2,8,62,124,108,42.43577947997992
55,5,26,3,1,9,165,55,26,34.853989489666034
55,2,39,1,1,1,55,55,39,55.0
60,4,37,3,1,7,180,60,37,36.785740740816955
58,4,64,3,1,5,174,58,64,44.27873684981367
57,3,61,3,2,7,171,114,122,29.77843254677449
59,3,65,1,2,8,59,118,130,40.198934250522576
61,3,54,2,1,10,122,61,54,50.04881117253224
61,4,48,1,2,9,61,122,96,36.47192537445187
62,2,55,1,1,6,62,62,55,46.3832436599599
62,5,54,3,1,10,186,62,54,33.53794040244822
63,3,57,3,1,5,189,63,57,55.9782879339618
59,4,44,1,2,7,59,118,88,35.76371637425404
63,3,44,2,1,7,126,63,44,54.40284767744039
58,3,43,3,2,9,174,116,86,30.17188591997033
63,1,56,1,1,4,63,63,56,63.0
59,4,62,1,1,7,59,59,62,51.12465871527466
61,4,45,3,1,4,183,61,45,54.77520819467384
62,2,52,3,2,10,186,124,104,30.649117816980457
65,5,42,3,1,6,195,65,42,50.33910367461524
65,4,57,1,2,7,65,130,114,40.44110172117513
63,3,44,3,2,2,189,126,88,49.092432893651434
62,1,57,1,1,9,62,62,57,41.51069635534674
59,4,48,3,1,2,177,59,48,48.38262468290542
59,4,62,3,2,3,177,118,124,31.354810198278876
64,2,48,2,1,5,128,64,48,56.51739735760868
61,1,42,3,1,5,183,61,42,43.615644228063694
57,2,50,2,1,5,114,57,50,46.88753530811694
62,3,57,3,2,7,186,124,114,35.184553108816495
64,5,51,1,1,3,64,64,51,58.88605151973024
56,3,52,2,1,10,112,56,52,35.49197960267028
58,3,50,3,1,10,174,58,50,34.26809343761008
65,4,40,3,2,5,195,130,80,39.3915568136139
60,2,47,3,2,2,180,120,94,37.222381435654505
60,5,52,2,1,5,120,60,52,49.33223465311316
58,5,57,2,1,5,116,58,57,54.1553397339268
59,4,62,3,1,6,177,59,62,46.26094878950519
65,4,57,2,1,10,130,65,57,42.28132882097044
61,2,29,2,1,9,122,61,29,44.52882776788711
55,3,51,1,2,9,55,110,102,32.29003021643118
63,5,41,2,1,1,126,63,41,57.44964111147048
59,5,74,2,1,9,118,59,74,41.03251644061896
59,3,65,3,1,8,177,59,65,41.76000023878625
58,2,64,3,2,10,174,116,128,28.052450376527602
55,5,68,2,1,7,110,55,68,41.8990862921562
59,4,44,1,2,9,59,118,88,36.79968911361606
61,1,57,2,2,9,122,122,114,35.9042825828419
55,4,35,2,1,7,110,55,35,43.40560428946907
64,3,42,1,1,6,64,64,42,52.706375007727274
58,3,50,3,2,5,174,116,100,38.70579057032617
55,1,42,2,2,5,110,110,84,40.98082902040254
56,1,64,1,3,5,56,168,192,36.64840563072592
56,4,55,1,2,6,56,112,110,44.361314947937636
59,4,47,2,2,1,118,118,94,39.45921413690217
56,2,54,1,1,2,56,56,54,56.0
65,3,65,1,2,1,65,130,130,51.993280598047335
56,2,56,2,1,2,112,56,56,46.620420658567134
61,3,54,1,1,4,61,61,54,61.0
61,2,49,2,2,4,122,122,98,53.04848424786209
63,5,41,3,1,9,189,63,41,42.354172936316445
57,4,42,3,2,6,171,114,84,39.503820142676624
63,4,56,3,2,6,189,126,112,41.70067621963923
56,1,33,2,1,3,112,56,33,54.348967134672485
64,5,51,1,1,2,64,64,51,58.149175358762264
62,4,50,1,1,7,62,62,50,39.96702577612481
57,1,58,1,2,7,57,114,116,39.803271535756274
65,4,57,1,1,6,65,65,57,59.881185988113195
61,4,39,3,1,8,183,61,39,42.78022763504544
64,3,56,3,1,5,192,64,56,50.21714711111352
65,2,58,1,1,2,65,65,58,62.64394315950726
65,4,40,2,1,2,130,65,40,51.550227546064406
62,1,64,1,3,2,62,186,192,39.88999755177814
63,3,44,3,2,6,189,126,88,48.24071618701091
60,5,41,2,1,4,120,60,41,46.73702007071118
55,3,51,1,2,7,55,110,102,41.01250588752253
56,1,64,3,2,9,168,112,128,25.173327430550433
55,2,54,3,1,7,165,55,54,39.37414708708606
60,5,51,2,1,7,120,60,51,51.638845067407544
62,4,44,2,1,10,124,62,44,41.77009844651852
61,3,61,1,1,2,61,61,61,61.0
55,1,31,2,1,10,110,55,31,32.813989713028775
60,1,63,1,2,7,60,120,126,41.05306572518364
55,5,39,1,1,6,55,55,39,44.58297278694026
60,4,57,3,2,1,180,120,114,34.73735091213363
65,4,57,2,2,7,130,130,114,47.843285754972435
58,2,64,3,1,4,174,58,64,47.31182917704399
57,5,47,1,1,7,57,57,47,46.44692579780459
56,2,51,2,2,10,112,112,102,32.572982433147565
55,2,54,3,1,8,165,55,54,35.0420808256131
57,3,59,3,2,10,171,114,118,27.710120162349693
59,1,63,2,1,8,118,59,63,40.78785872924734
64,3,38,2,1,2,128,64,38,56.30041573914878
55,2,54,1,1,7,55,55,54,48.272553980602495
62,2,64,1,1,1,62,62,64,57.140903533505096
63,3,57,3,2,8,189,126,114,41.892023962283226
61,4,59,1,2,3,61,122,118,44.71665213205374
60,4,60,2,2,6,120,120,120,45.01183111756705
58,1,40,3,2,10,174,116,80,23.65375860917093
62,3,51,3,2,9,186,124,102,30.029837001793492
57,2,47,2,2,9,114,114,94,30.75566594711436
61,4,45,2,1,7,122,61,45,56.45172829783845
61,3,66,3,2,5,183,122,132,43.22993811035243
55,3,51,2,2,7,110,110,102,36.88371928210981
63,1,51,1,1,8,63,63,51,50.089247529462035
59,1,42,2,1,2,118,59,42,49.2780744642227
65,3,65,1,1,10,65,65,65,44.85336791788551
63,1,56,2,2,5,126,126,112,45.60840958586513
60,4,43,1,1,7,60,60,43,51.41126620280928
61,2,29,3,1,8,183,61,29,40.10823050593441
62,3,58,2,2,10,124,124,116,30.901124589892987
61,2,55,2,1,3,122,61,55,50.8423311910755
59,1,42,3,2,1,177,118,84,39.563129824356324
61,3,43,1,2,5,61,122,86,58.289269893443745
56,3,54,1,1,5,56,56,54,46.57199170496695
64,2,51,1,2,8,64,128,102,36.99236557352867
60,2,47,3,1,7,180,60,47,47.55147865353681
62,2,52,2,1,9,124,62,52,38.92538327963029
55,5,26,2,1,9,110,55,26,47.9274769207074
58,3,54,1,2,1,58,116,108,46.34361480659918
59,1,51,3,1,9,177,59,51,40.979553953793285
64,3,57,2,1,1,128,64,57,54.12639321131849
64,2,51,1,1,5,64,64,51,59.3827898753142
61,4,54,3,2,3,183,122,108,41.296684682985465
63,5,44,3,1,5,189,63,44,50.079869346787554
55,2,53,1,2,4,55,110,106,42.85066087301747
58,3,51,3,2,2,174,116,102,36.7808860112931
64,2,42,2,1,7,128,64,42,51.46014482963657
62,4,42,1,2,10,62,124,84,32.717732986067894
65,3,65,3,2,9,195,130,130,33.41235734736019
61,4,74,1,1,5,61,61,74,54.90784328114816
64,2,42,2,2,2,128,128,84,43.33597331942601
56,3,52,1,1,10,56,56,52,40.65014721451645
62,4,40,2,2,1,124,124,80,47.68664070229467
57,1,44,3,2,7,171,114,88,32.698910496538915
60,2,42,1,2,7,60,120,84,35.902275991287325
56,2,56,1,2,1,56,112,112,45.461658409933015
56,1,63,1,2,8,56,112,126,30.66130162119676
55,5,39,2,1,8,110,55,39,44.486690319676526
64,1,38,1,1,8,64,64,38,48.360161760717915
58,3,57,3,2,1,174,116,114,43.65297356103854
55,3,51,3,2,1,165,110,102,38.26367015305377
57,5,47,3,1,8,171,57,47,44.658298005345074
61,3,43,1,1,5,61,61,43,60.41391047949176
59,1,63,1,1,1,59,59,63,53.669264765500984
64,2,51,2,2,3,128,128,102,47.40647164350059
57,2,50,3,2,3,171,114,100,37.68049863697704
57,3,59,3,2,7,171,114,118,32.20984591550477
58,1,47,2,2,2,116,116,94,39.24672740833487
62,2,44,2,2,1,124,124,88,45.69346868422633
59,5,74,1,1,3,59,59,74,50.64135029599384
59,5,65,3,1,6,177,59,65,38.13023049438652
60,5,41,3,1,3,180,60,41,45.898107549019066
58,4,64,1,2,1,58,116,128,45.10696150342215
64,3,38,2,1,2,128,64,38,59.26689471523384
62,2,68,1,1,2,62,62,68,62.0
55,2,53,1,1,7,55,55,53,45.00956290081698
56,5,52,3,1,1,168,56,52,45.82015270451877
56,1,50,3,1,10,168,56,50,32.817724843657444
59,4,54,1,1,5,59,59,54,54.19964721168994
55,3,51,3,2,4,165,110,102,43.231895293865136
62,2,68,2,2,10,124,124,136,32.6681450598596
65,4,48,1,2,3,65,130,96,54.95814139215247
62,2,64,3,3,7,186,186,192,29.09095029807373
64,3,64,2,1,4,128,64,64,52.111670420643115
57,3,46,3,1,10,171,57,46,39.978671424004006
61,1,62,1,2,5,61,122,124,46.20742907189873
59,3,53,1,2,3,59,118,106,46.256200606275556
63,5,47,3,1,8,189,63,47,38.76340830000979
58,1,60,1,3,9,58,174,180,27.450660421440613
60,2,47,2,2,4,120,120,94,47.1354538865236
61,4,39,1,1,5,61,61,39,58.5110833779265
61,1,57,3,2,1,183,122,114,42.292663561447156
64,2,42,2,2,4,128,128,84,49.792172421895415
61,4,49,2,2,1,122,122,98,43.15529089914903
62,4,52,3,2,8,186,124,104,33.39437841119699
61,4,49,2,1,10,122,61,49,33.990013267137634
57,2,61,1,3,1,57,171,183,36.296208205189366
59,4,44,1,2,7,59,118,88,41.77774698338915
62,2,68,3,3,2,186,186,204,36.08480929559134
61,4,43,1,1,9,61,61,43,45.413454075645475
61,4,74,2,2,2,122,122,148,54.021312078846286
